iter	Passed	Remaining
408	5241	20387
409	5254	20376
410	5266	20360
411	5279	20349
412	5294	20344
413	5310	20343
414	5324	20335
415	5337	20323
416	5351	20316
417	5364	20304
418	5379	20298
419	5394	20295
420	5410	20291
421	5427	20294
422	5443	20292
423	5456	20283
424	5468	20265
425	5480	20249
426	5495	20244
427	5513	20251
428	5531	20258
429	5548	20256
430	5561	20247
431	5577	20245
432	5589	20229
433	5605	20227
434	5619	20216
435	5633	20206
436	5645	20191
437	5659	20183
438	5673	20172
439	5686	20162
440	5704	20164
441	5722	20169
442	5736	20161
443	5749	20147
444	5763	20140
445	5777	20131
446	5790	20118
447	5805	20110
448	5820	20104
449	5833	20091
450	5848	20086
451	5862	20079
452	5876	20069
453	5893	20069
454	5906	20056
455	5923	20056
456	5938	20051
457	5952	20042
458	5965	20029
459	5980	20022
460	5996	20018
461	6009	20006
462	6024	19998
463	6036	19983
464	6050	19974
465	6062	19957
466	6077	19951
467	6093	19948
468	6109	19943
469	6126	19942
470	6140	19932
471	6154	19923
472	6167	19910
473	6179	19893
474	6194	19887
475	6211	19887
476	6225	19875
477	6237	19859
478	6253	19857
479	6266	19845
480	6279	19830
481	6291	19815
482	6306	19806
483	6323	19807
484	6339	19802
485	6351	19787
486	6367	19781
487	6384	19780
488	6398	19770
489	6411	19759
490	6424	19745
491	6440	19739
492	6456	19736
493	6469	19722
494	6486	19720
495	6501	19714
496	6517	19710
497	6531	19700
498	6545	19687
499	6557	19671
500	6571	19660
501	6589	19662
502	6604	19655
503	6617	19643
504	6633	19638
505	6647	19626
506	6660	19613
507	6674	19603
508	6688	19593
509	6703	19584
510	6717	19574
511	6733	19568
512	6746	19554
513	6761	19549
514	6773	19532
515	6789	19526
516	6802	19512
517	6818	19508
518	6835	19505
519	6848	19492
520	6865	19488
521	6879	19480
522	6893	19469
523	6910	19466
524	6925	19457
525	6940	19448
526	6953	19434
527	6967	19424
528	6979	19406
529	6995	19403
530	7010	19393
531	7023	19380
532	7040	19378
533	7056	19371
534	7070	19362
535	7087	19358
536	7099	19342
537	7116	19337
538	7133	19336
539	7150	19333
540	7169	19334
541	7182	19320
542	7197	19312
543	7213	19305
544	7228	19297
545	7241	19283
546	7257	19277
547	7272	19269
548	7287	19261
549	7299	19245
550	7312	19231
551	7325	19217
552	7338	19203
553	7350	19186
554	7367	19181
555	7379	19165
556	7395	19158
557	7410	19149
558	7425	19141
559	7440	19131
560	7453	19118
561	7465	19101
562	7478	19089
563	7493	19079
564	7508	19070
565	7523	19061
566	7535	19045
567	7551	19037
568	7568	19034
569	7581	19021
570	7593	19004
571	7607	18993
572	7623	18986
573	7637	18973
574	7652	18965
575	7669	18961
576	7683	18947
577	7698	18938
578	7715	18935
579	7731	18929
580	7744	18914
581	7757	18900
582	7771	18889
583	7787	18881
584	7802	18871
585	7815	18858
586	7829	18846
587	7842	18831
588	7854	18816
589	7872	18814
590	7889	18809
591	7904	18799
592	7917	18786
593	7930	18770
594	7943	18757
595	7960	18751
596	7974	18740
597	7989	18730
598	8003	18720
599	8017	18706
600	8030	18694
601	8046	18685
602	8060	18674
603	8074	18663
604	8089	18651
605	8102	18638
606	8117	18627
607	8129	18613
608	8142	18599
609	8155	18584
610	8170	18573
611	8185	18564
612	8198	18549
613	8210	18533
614	8222	18518
615	8235	18504
616	8250	18492
617	8263	18479
618	8280	18472
619	8292	18457
620	8304	18440
621	8316	18424
622	8330	18413
623	8342	18396
624	8356	18383
625	8368	18368
626	8383	18357
627	8396	18343
628	8410	18331
629	8422	18315
630	8438	18308
631	8455	18302
632	8470	18292
633	8487	18287
634	8499	18271
635	8515	18262
636	8527	18246
637	8541	18234
638	8553	18217
639	8565	18201
640	8580	18192
641	8594	18179
642	8606	18162
643	8620	18151
644	8633	18137
645	8645	18121
646	8662	18115
647	8675	18100
648	8689	18089
649	8702	18074
650	8717	18065
651	8731	18051
652	8745	18040
653	8761	18032
654	8775	18019
655	8787	18002
656	8802	17993
657	8815	17979
658	8828	17964
659	8844	17956
660	8861	17950
661	8873	17935
662	8888	17924
663	8906	17920
664	8922	17911
665	8935	17897
666	8951	17888
667	8965	17876
668	8980	17867
669	8994	17854
670	9006	17838
671	9020	17826
672	9036	17817
673	9049	17803
674	9062	17789
675	9076	17777
676	9093	17769
677	9109	17761
678	9121	17745
679	9138	17739
680	9154	17730
681	9167	17717
682	9183	17707
683	9198	17697
684	9213	17687
685	9227	17675
686	9242	17664
687	9256	17651
688	9270	17638
689	9283	17626
690	9299	17616
691	9314	17605
692	9330	17596
693	9344	17584
694	9360	17575
695	9376	17567
696	9388	17551
697	9400	17535
698	9415	17524
699	9430	17514
700	9443	17500
701	9457	17486
702	9470	17472
703	9488	17466
704	9504	17458
705	9518	17445
706	9534	17436
707	9547	17421
708	9561	17410
709	9579	17404
710	9593	17392
711	9609	17383
712	9620	17366
713	9636	17356
714	9653	17350
715	9666	17334
716	9680	17323
717	9697	17314
718	9709	17298
719	9722	17284
720	9734	17267
721	9746	17251
722	9761	17241
723	9775	17228
724	9791	17219
725	9804	17205
726	9819	17194
727	9833	17181
728	9846	17167
729	9860	17155
730	9874	17141
731	9891	17134
732	9902	17117
733	9917	17105
734	9933	17096
735	9948	17085
736	9964	17076
737	9979	17065
738	9994	17054
739	10009	17043
740	10021	17027
741	10034	17011
742	10051	17004
743	10063	16989
744	10076	16974
745	10091	16963
746	10104	16948
747	10121	16941
748	10134	16926
749	10146	16911
750	10160	16897
751	10177	16890
752	10189	16874
753	10201	16858
754	10218	16849
755	10235	16841
756	10256	16841
757	10276	16839
758	10299	16840
759	10323	16843
760	10350	16851
761	10371	16850
762	10391	16846
763	10408	16838
764	10429	16837
765	10450	16834
766	10475	16839
767	10495	16836
768	10517	16836
769	10530	16820
770	10545	16809
771	10561	16799
772	10574	16784
773	10589	16773
774	10605	16762
775	10617	16747
776	10633	16736
777	10645	16721
778	10658	16705
779	10672	16693
780	10685	16678
781	10698	16663
782	10710	16647
783	10724	16633
784	10737	16619
785	10752	16607
786	10767	16595
787	10779	16579
788	10794	16568
789	10808	16555
790	10820	16539
791	10834	16525
792	10848	16512
793	10861	16497
794	10878	16488
795	10890	16472
796	10905	16461
797	10920	16449
798	10933	16433
799	10947	16421
800	10962	16408
801	10976	16395
802	10989	16381
803	11003	16368
804	11020	16359
805	11032	16343
806	11045	16328
807	11061	16319
808	11076	16307
809	11089	16292
